points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,bonus_points_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_sum_last_5,xA_sum_last_5,home_away_current,fdr_current,actual_gw_points
10,90.0,0,0,0,0,0,5,121174,275249,41.2,33.9,171.0,-0.2,7.2,0.33,0.05,1.65,0.23,0,2,2
10,90.0,0,0,0,0,0,5,118880,255130,43.0,46.4,179.0,-0.2,7.2,0.31,0.08,1.54,0.38,1,3,2
10,90.0,0,0,0,0,0,5,112686,202278,40.0,61.9,198.0,-0.2,7.2,0.35,0.09,1.76,0.46,0,2,2
10,90.0,0,0,0,0,0,5,123797,128942,44.6,74.5,238.0,-0.1,7.2,0.42,0.09,2.12,0.46,1,3,6
14,88.0,1,0,0,0,0,5,112187,128483,71.8,78.3,320.0,-0.1,7.2,0.62,0.07,3.08,0.37,0,4,1
13,88.0,1,0,0,1,0,5,95168,122459,67.6,74.2,235.0,0.0,7.2,0.38,0.07,1.88,0.36,1,3,5
16,85.4,1,1,0,1,0,5,51353,116889,80.0,72.5,200.0,-0.1,7.1,0.36,0.06,1.79,0.28,0,3,0
14,84.25,1,1,0,1,0,4,125120,96939,75.6,54.6,181.0,-0.1,7.1,0.39,0.05,1.57,0.19,1,4,6
18,84.25,2,1,0,1,0,4,148288,158884,110.2,52.7,192.0,-0.1,7.1,0.38,0.05,1.54,0.2,0,4,5
17,86.75,1,2,0,1,0,4,164634,140991,87.8,69.4,148.0,-0.1,7.1,0.22,0.08,0.9,0.3,1,2,2
18,80.75,1,2,0,0,0,4,228699,133164,87.8,57.9,144.0,-0.1,7.1,0.22,0.07,0.9,0.28,1,2,1
14,69.25,1,1,0,0,0,4,285421,146823,69.0,44.7,136.0,0.0,7.1,0.22,0.05,0.9,0.19,0,2,8
22,73.4,2,1,2,0,0,5,208582,223540,98.2,46.8,174.0,0.0,7.1,0.29,0.04,1.43,0.2,1,3,11
27,73.4,2,2,4,0,0,5,206982,166855,94.8,48.3,152.0,0.0,7.1,0.31,0.04,1.53,0.22,0,5,7
29,73.4,3,1,5,0,0,5,216942,175904,114.0,49.3,112.0,0.0,7.1,0.24,0.02,1.22,0.09,1,4,8
35,75.6,4,1,7,0,0,5,204792,176427,148.2,49.9,131.0,0.0,7.1,0.26,0.02,1.3,0.09,0,2,6
40,87.4,5,1,7,0,0,5,483218,175277,196.2,63.4,193.0,0.1,7.2,0.57,0.02,2.83,0.12,1,2,2
34,86.2,4,1,5,0,0,5,880059,143452,168.0,61.9,159.0,0.2,7.3,0.59,0.02,2.96,0.12,0,3,8
31,85.0,4,0,5,0,0,5,974440,295343,180.0,60.8,186.0,0.2,7.3,0.62,0.03,3.09,0.14,1,2,5
29,85.0,3,1,4,0,0,5,1657729,298341,168.0,48.4,229.0,0.3,7.4,0.7,0.03,3.49,0.14,0,4,8
29,87.6,3,1,4,0,0,5,1852885,364739,167.4,49.8,223.0,0.4,7.5,0.81,0.03,4.07,0.16,0,3,9
32,87.6,3,1,7,0,0,5,1753129,411434,166.8,39.8,220.0,0.3,7.5,0.61,0.03,3.05,0.15,1,2,7
37,88.8,4,1,9,1,0,5,1760825,377891,204.6,44.5,282.0,0.3,7.6,0.62,0.04,3.08,0.2,1,3,16
45,90.0,5,2,10,1,0,5,1724062,328963,244.6,60.4,287.0,0.3,7.6,0.66,0.07,3.29,0.37,0,3,2
42,90.0,5,1,10,1,0,5,1514862,314154,225.0,54.2,237.0,0.3,7.7,0.63,0.07,3.17,0.34,1,2,2
36,90.0,4,1,8,1,0,5,1411042,356956,189.4,53.4,245.0,0.2,7.7,0.55,0.06,2.76,0.32,0,4,2
29,90.0,3,1,5,1,0,5,1204968,711208,145.0,60.4,186.0,0.2,7.7,0.45,0.06,2.25,0.3,0,2,1
23,90.0,2,1,3,1,0,5,891017,886265,111.6,67.7,152.0,0.0,7.6,0.41,0.05,2.06,0.26,1,3,4
11,90.0,0,1,0,2,0,5,813608,1436887,21.8,51.0,82.0,-0.2,7.4,0.32,0.06,1.58,0.28,0,4,0
9,89.2,0,1,0,2,0,5,373328,1645134,14.8,49.4,78.0,-0.4,7.3,0.4,0.06,2.01,0.28,1,3,9
13,74.4,1,0,0,0,0,4,147334,83887,52.6,31.4,62.0,0.0,5.5,0.06,0.01,0.28,0.07,0,2,1
8,56.6,0,0,0,0,0,3,152254,112021,17.6,25.7,45.0,0.0,5.5,0.05,0.01,0.23,0.05,0,4,1
7,39.0,0,0,0,0,0,2,104508,110045,12.4,14.0,41.0,0.0,5.5,0.05,0.01,0.23,0.03,1,3,2
7,35.2,0,0,0,0,0,2,51029,93846,16.0,15.4,29.0,0.0,5.5,0.04,0.02,0.19,0.12,1,3,1
