points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,goals_conceded_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_conceded_per_game_last_5,xG_sum_last_5,xA_sum_last_5,xGoals_Conceeded_sum_last_5,home_away_current,fdr_current,actual_gw_points
17,71.0,0,0,2,1,3,0,0,4,188067,373512,56.2,80.8,16.0,0.0,4.7,0.01,0.12,6.43,0.03,0.58,4.15,1,2,7
22,62.0,1,0,2,1,3,0,0,3,177592,459902,80.4,68.4,31.0,0.0,4.7,0.03,0.1,6.43,0.14,0.5,2.04,0,2,6
27,76.4,1,0,3,1,3,0,0,4,204568,444450,89.0,84.8,27.0,0.0,4.7,0.02,0.13,6.43,0.11,0.64,2.76,1,2,5
31,77.2,1,1,3,1,2,0,0,4,225548,438359,109.8,89.6,35.0,0.0,4.7,0.02,0.11,6.43,0.11,0.53,2.78,1,2,8
32,77.2,2,1,2,0,3,0,0,4,280861,421517,142.4,87.6,68.0,0.0,4.7,0.17,0.1,6.43,0.84,0.51,3.54,0,4,0
26,77.2,2,1,1,0,5,1,0,4,480681,353667,140.6,68.6,68.0,0.1,4.8,0.17,0.07,6.43,0.84,0.37,6.14,0,3,6
25,86.2,1,2,1,2,6,1,0,5,615092,226030,133.2,57.9,45.0,0.2,4.9,0.15,0.14,6.43,0.73,0.69,7.63,1,2,4
23,88.4,1,3,0,2,9,1,0,5,753263,194828,152.6,66.8,67.0,0.3,5.0,0.16,0.14,6.43,0.8,0.71,8.33,0,5,0
18,90.0,1,2,0,2,12,1,0,5,751184,248293,133.0,46.4,57.0,0.3,5.0,0.16,0.11,6.43,0.8,0.54,9.97,1,3,2
12,90.0,0,2,0,2,12,1,0,5,688429,332533,97.8,70.7,28.0,0.3,5.0,0.01,0.13,6.43,0.07,0.67,9.93,0,4,6
18,90.0,0,2,1,2,10,0,0,5,502889,371883,99.8,72.2,30.0,0.2,5.0,0.01,0.14,6.43,0.07,0.7,7.27,1,3,1
13,90.0,0,1,1,0,11,0,0,5,389109,371371,80.0,60.5,28.0,0.1,5.0,0.01,0.07,6.43,0.07,0.35,7.3,0,2,2
11,90.0,0,0,1,0,9,0,0,5,234352,415959,69.6,57.4,6.0,0.0,5.0,0.0,0.06,6.43,0.0,0.31,6.43,1,2,6
