season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,4,18,16,0,0.0,2.0,1.0,,,1.0,2.0,4.0,,,8.0,3.0,1.0,0.0,2.0,,,1.0,1.0,0.0,,,8.0,3.0,0
2223,5,7,4,1,4.0,1.0,1.0,2.0,,2.0,3.0,1.0,0.0,,3.0,3.0,1.0,3.0,0.0,2.0,,1.0,2.0,4.0,2.0,,3.0,3.0,1
2223,5,4,7,0,1.0,3.0,0.0,2.0,,1.0,2.0,4.0,2.0,,3.0,3.0,4.0,1.0,1.0,2.0,,2.0,3.0,1.0,0.0,,3.0,3.0,1
2223,5,9,5,1,2.0,2.0,0.0,2.0,,1.0,3.0,0.0,2.0,,3.0,3.0,0.0,0.0,0.0,1.0,,1.0,2.0,0.0,2.0,,3.0,4.0,1
2223,5,5,9,0,0.0,0.0,0.0,1.0,,1.0,2.0,0.0,2.0,,3.0,4.0,2.0,2.0,0.0,2.0,,1.0,3.0,0.0,2.0,,3.0,3.0,2
2223,5,17,6,1,1.0,1.0,2.0,4.0,,0.0,2.0,2.0,1.0,,3.0,3.0,1.0,3.0,2.0,0.0,,2.0,0.0,2.0,1.0,,3.0,3.0,1
2223,5,6,17,0,1.0,3.0,2.0,0.0,,2.0,0.0,2.0,1.0,,3.0,3.0,1.0,1.0,2.0,4.0,,0.0,2.0,2.0,1.0,,3.0,3.0,2
2223,5,11,8,1,1.0,0.0,2.0,1.0,,0.0,3.0,2.0,2.0,,3.0,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.0,,3.0,3.0,1
2223,5,8,11,0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.0,,3.0,3.0,1.0,0.0,2.0,1.0,,0.0,3.0,2.0,2.0,,3.0,3.0,1
2223,5,1,2,1,1.0,0.0,2.0,0.0,,2.0,3.0,4.0,2.0,,4.0,3.0,1.0,3.0,1.0,2.0,,0.0,1.0,2.0,0.0,,3.0,2.0,1
2223,5,2,1,0,1.0,3.0,1.0,2.0,,0.0,1.0,2.0,0.0,,3.0,2.0,1.0,0.0,2.0,0.0,,2.0,3.0,4.0,2.0,,4.0,3.0,2
2223,5,3,20,1,9.0,3.0,4.0,0.0,,0.0,0.0,0.0,2.0,,4.0,2.0,1.0,1.0,0.0,2.0,,1.0,0.0,0.0,1.0,,3.0,2.0,0
2223,5,20,3,0,1.0,1.0,0.0,2.0,,1.0,0.0,0.0,1.0,,3.0,2.0,9.0,3.0,4.0,0.0,,0.0,0.0,0.0,2.0,,4.0,2.0,0
2223,5,13,16,1,2.0,3.0,0.0,0.0,,4.0,3.0,4.0,2.0,,4.0,2.0,2.0,1.0,0.0,2.0,,0.0,1.0,1.0,0.0,,3.0,2.0,0
2223,5,16,13,0,2.0,1.0,0.0,2.0,,0.0,1.0,1.0,0.0,,3.0,2.0,2.0,3.0,0.0,0.0,,4.0,3.0,4.0,2.0,,4.0,2.0,6
2223,5,19,18,1,0.0,2.0,1.0,2.0,,1.0,0.0,0.0,0.0,,3.0,2.0,0.0,0.0,2.0,1.0,,2.0,1.0,2.0,4.0,,3.0,2.0,1
2223,5,18,19,0,0.0,0.0,2.0,1.0,,2.0,1.0,2.0,4.0,,3.0,2.0,0.0,2.0,1.0,2.0,,1.0,0.0,0.0,0.0,,3.0,2.0,1
2223,5,12,15,1,0.0,2.0,1.0,2.0,,9.0,1.0,1.0,2.0,,4.0,2.0,1.0,3.0,0.0,0.0,,1.0,3.0,0.0,2.0,,3.0,2.0,1
