points_last_5,minutes_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,ict_index,player_position,player_price,xG_per_90,xA_per_90,home_away_current_plus_1,home_away_current_plus_2,home_away_current_plus_3,home_away_current_plus_4,home_away_current_plus_5,home_away_current_plus_6,home_away_current_plus_7,fdr_current_plus_1,fdr_current_plus_2,fdr_current_plus_3,fdr_current_plus_4,fdr_current_plus_5,fdr_current_plus_6,fdr_current_plus_7,total_points_plus_7
16,419,1,0,1,1,2.1,2,4.7,0.0,0.0,1,0,1,0,1,0,1,2,5,3,4,3,2,2,10
32,423,3,0,2,6,9.8,2,6.6,0.46,0.22,0,1,1,0,0,1,0,3,3,4,2,2,2,4,27
31,406,3,0,1,6,6.8,2,6.6,0.35,0.34,1,1,0,0,1,0,0,3,4,2,2,2,4,2,43
29,316,3,0,1,6,0.0,2,6.5,0.0,0.0,1,0,0,1,0,0,1,4,2,2,2,4,2,2,52
15,322,1,0,0,3,4.2,2,6.5,0.11,0.04,0,0,1,0,0,1,0,2,2,2,4,2,2,3,61
9,313,0,1,0,0,8.2,2,6.4,0.26,0.47,0,1,0,0,1,0,1,2,2,4,2,2,3,3,57
14,305,0,2,1,0,9.6,2,6.4,0.16,0.17,1,0,0,1,0,1,0,2,4,2,2,3,3,4,64
14,314,0,2,1,0,6.4,2,6.4,0.09,0.27,0,0,1,0,1,0,1,4,2,2,3,3,4,3,59
24,404,1,2,2,2,17.7,2,6.4,0.17,0.48,0,1,0,1,0,1,0,2,2,3,3,4,3,2,58
25,411,1,2,3,2,4.3,2,6.4,0.12,0.28,1,0,1,0,1,0,1,2,3,3,4,3,2,3,44
37,420,3,1,4,5,14.7,2,6.4,1.48,0.03,0,1,0,1,0,1,1,3,3,4,3,2,3,5,35
42,438,3,2,3,8,14.7,2,6.4,0.38,0.26,1,0,1,0,1,1,0,3,4,3,2,3,5,2,30
53,442,4,3,3,11,13.0,2,6.5,0.06,0.77,0,1,0,1,1,0,0,4,3,2,3,5,2,3,31
45,442,3,3,3,9,6.3,2,6.6,0.22,0.18,1,0,1,1,0,0,1,3,2,3,5,2,3,2,30
51,446,4,3,3,10,9.3,2,6.7,0.14,0.14,0,1,1,0,0,1,1,2,3,5,2,3,2,2,27
40,446,2,4,2,7,5.3,2,6.8,0.42,0.04,1,1,0,0,1,1,0,3,5,2,3,2,2,2,32
31,432,2,2,2,4,3.9,2,6.9,0.1,0.15,1,0,0,1,1,0,1,5,2,3,2,2,2,2,32
20,436,1,1,2,1,9.0,2,7.0,0.12,0.18,0,0,1,1,0,1,1,2,3,2,2,2,2,2,36
20,436,1,1,1,1,2.5,2,7.0,0.1,0.11,0,1,1,0,1,1,0,3,2,2,2,2,2,4,30
19,436,0,2,0,3,13.4,2,7.0,0.34,0.6,1,1,0,1,1,0,0,2,2,2,2,2,4,3,37
17,429,0,1,1,3,5.2,2,7.0,0.15,0.1,1,0,1,1,0,0,1,2,2,2,2,4,3,2,36
