season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,4.0,14,17,0,1.0,4.0,2.0,,,2.0,0.0,1.0,,,4.0,5.0,1.0,2.0,4.0,,,2.0,2.0,1.0,,,6.0,3.0,0.0
2223,4.0,4,8,1,3.0,0.0,2.0,,,2.0,4.0,2.0,,,7.0,3.0,1.0,2.0,1.0,,,1.0,1.0,0.0,,,7.0,3.0,1.0
2223,4.0,8,4,0,1.0,2.0,1.0,,,1.0,1.0,0.0,,,7.0,3.0,3.0,0.0,2.0,,,2.0,4.0,2.0,,,7.0,3.0,1.0
2223,4.0,5,11,1,0.0,0.0,1.0,,,2.0,0.0,2.0,,,6.0,3.0,0.0,2.0,1.0,,,3.0,2.0,2.0,,,6.0,3.0,0.0
2223,4.0,11,5,0,0.0,2.0,1.0,,,3.0,2.0,2.0,,,6.0,3.0,0.0,0.0,1.0,,,2.0,0.0,2.0,,,6.0,3.0,1.0
2223,4.0,6,10,1,3.0,2.0,0.0,,,0.0,2.0,1.0,,,6.0,3.0,2.0,4.0,2.0,,,1.0,2.0,2.0,,,7.0,5.0,1.0
2223,4.0,10,6,0,2.0,4.0,2.0,,,1.0,2.0,2.0,,,7.0,5.0,3.0,2.0,0.0,,,0.0,2.0,1.0,,,6.0,3.0,2.0
2223,4.0,12,3,1,2.0,1.0,2.0,,,1.0,1.0,2.0,,,4.0,4.0,3.0,4.0,0.0,,,0.0,0.0,2.0,,,6.0,4.0,0.0
2223,4.0,3,12,0,3.0,4.0,0.0,,,0.0,0.0,2.0,,,6.0,4.0,2.0,1.0,2.0,,,1.0,1.0,2.0,,,4.0,4.0,9.0
2223,4.0,13,7,1,3.0,0.0,0.0,,,3.0,4.0,2.0,,,5.0,4.0,1.0,1.0,2.0,,,3.0,1.0,0.0,,,7.0,3.0,2.0
2223,4.0,7,13,0,1.0,1.0,2.0,,,3.0,1.0,0.0,,,7.0,3.0,3.0,0.0,0.0,,,3.0,4.0,2.0,,,5.0,4.0,4.0
2223,4.0,1,9,1,0.0,2.0,0.0,,,3.0,4.0,2.0,,,7.0,4.0,2.0,0.0,2.0,,,3.0,0.0,2.0,,,7.0,3.0,1.0
2223,4.0,9,1,0,2.0,0.0,2.0,,,3.0,0.0,2.0,,,7.0,3.0,0.0,2.0,0.0,,,3.0,4.0,2.0,,,7.0,4.0,2.0
2223,4.0,2,19,1,3.0,1.0,2.0,,,1.0,2.0,0.0,,,7.0,3.0,2.0,1.0,2.0,,,0.0,0.0,0.0,,,7.0,3.0,1.0
2223,4.0,19,2,0,2.0,1.0,2.0,,,0.0,0.0,0.0,,,7.0,3.0,3.0,1.0,2.0,,,1.0,2.0,0.0,,,7.0,3.0,0.0
2223,4.0,20,15,1,1.0,0.0,2.0,,,0.0,0.0,1.0,,,8.0,3.0,3.0,0.0,0.0,,,3.0,0.0,2.0,,,6.0,3.0,1.0
2223,4.0,15,20,0,3.0,0.0,0.0,,,3.0,0.0,2.0,,,6.0,3.0,1.0,0.0,2.0,,,0.0,0.0,1.0,,,8.0,3.0,1.0
2223,4.0,16,18,1,1.0,0.0,2.0,,,1.0,1.0,0.0,,,8.0,3.0,0.0,2.0,1.0,,,1.0,2.0,4.0,,,8.0,3.0,2.0
2223,4.0,18,16,0,0.0,2.0,1.0,,,1.0,2.0,4.0,,,8.0,3.0,1.0,0.0,2.0,,,1.0,1.0,0.0,,,8.0,3.0,0.0
2223,5.0,7,4,1,4.0,1.0,1.0,2.0,,2.0,3.0,1.0,0.0,,3.0,3.0,1.0,3.0,0.0,2.0,,1.0,2.0,4.0,2.0,,3.0,3.0,1.0
2223,5.0,4,7,0,1.0,3.0,0.0,2.0,,1.0,2.0,4.0,2.0,,3.0,3.0,4.0,1.0,1.0,2.0,,2.0,3.0,1.0,0.0,,3.0,3.0,1.0
2223,5.0,9,5,1,2.0,2.0,0.0,2.0,,1.0,3.0,0.0,2.0,,3.0,3.0,0.0,0.0,0.0,1.0,,1.0,2.0,0.0,2.0,,3.0,4.0,1.0
2223,5.0,5,9,0,0.0,0.0,0.0,1.0,,1.0,2.0,0.0,2.0,,3.0,4.0,2.0,2.0,0.0,2.0,,1.0,3.0,0.0,2.0,,3.0,3.0,2.0
2223,5.0,17,6,1,1.0,1.0,2.0,4.0,,0.0,2.0,2.0,1.0,,3.0,3.0,1.0,3.0,2.0,0.0,,2.0,0.0,2.0,1.0,,3.0,3.0,1.0
2223,5.0,6,17,0,1.0,3.0,2.0,0.0,,2.0,0.0,2.0,1.0,,3.0,3.0,1.0,1.0,2.0,4.0,,0.0,2.0,2.0,1.0,,3.0,3.0,2.0
2223,5.0,11,8,1,1.0,0.0,2.0,1.0,,0.0,3.0,2.0,2.0,,3.0,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.0,,3.0,3.0,1.0
2223,5.0,8,11,0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.0,,3.0,3.0,1.0,0.0,2.0,1.0,,0.0,3.0,2.0,2.0,,3.0,3.0,1.0
2223,5.0,1,2,1,1.0,0.0,2.0,0.0,,2.0,3.0,4.0,2.0,,4.0,3.0,1.0,3.0,1.0,2.0,,0.0,1.0,2.0,0.0,,3.0,2.0,1.0
2223,5.0,2,1,0,1.0,3.0,1.0,2.0,,0.0,1.0,2.0,0.0,,3.0,2.0,1.0,0.0,2.0,0.0,,2.0,3.0,4.0,2.0,,4.0,3.0,2.0
